Prompt Cards,Special,Set,Sheet,Version Comments,,Response Cards,Set,Sheet,Version Comments
"___ ? there is medication for that, you know.",,Hilarious!,Stand Alone Games,,,1790,Disgruntled Decks: Coast Guard/Coastie Edition,Stand Alone Games,
___ is a slippery slope that leads to ___.,,Cards Against/For South Africa,Stand Alone Games,,,…then the penis is inserted into the vagina.,WTF Did You Say?!?,Stand Alone Games,
___ is a slippery slope that leads to ___.,PICK 2,Hilarious!,Stand Alone Games,,,"""Hello Mister!""",JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
___ It's a trap!,,Hilarious!,Stand Alone Games,,,"""I want to do it by myseeeeeeelf!""",KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
___ really helped my dad through his midlife crises.,,Hilarious!,Stand Alone Games,,,"""Jerk him, Tahiti!

Jerk him off""",Dick,Stand Alone Games,
___ will finally put an end to racism.,,Hilarious!,Stand Alone Games,,,"""Partners!

I must have Partners!""",Dick,Stand Alone Games,
____ - thats how I want to die.,,Hilarious!,Stand Alone Games,,,"""Stop playing with your penis!""",KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
_____ happens because I touch myself at night.,,Cows Against Hamburgers - Patty Pack #1,Third Party Commercial,,,"""Trump Nude"" internet searches.",Humanity Hates Trump: Expansion Pack 1,Stand Alone Games,
_____ happens because I touch myself at night.,,Cows Grilling Hamburgers - Patty Pack #1,Third Party Commercial,,,"""Tweeting.""",CAH Base Set,CAH Base Set,
"_____ is many things to many people, as you will see and learn.",,Crazy & Horrible Rabbit - Vol. 1,Third Party Commercial,,,“Accidentally” sticking your finger in your ass while wiping.,Words Against Morality: Volume 3,Third Party Commercial,
_____ is the one thing I can't live without.,,Clones Attack Hilarity #2,Third Party Commercial,,,“Christian Domestic Discipline 101” from Amazon.com.*,Carbs of the Huge Manatee - Kink Expansion 1,Third Party Commercial,
_____ is way better in virtual reality.,,Clones Attack Hilarity #2,Third Party Commercial,,,"“Exiting, pursued by a bear.”",Carbs of the Huge Manatee - Kink Expansion 1,Third Party Commercial,
_____ Spice was one of the lesser-known Spice Girls.,,Crazy & Horrible Rabbit - Vol. 1,Third Party Commercial,,,“I'm off my meds so I may be a bit weird.”,Carbs of the Huge Manatee - Online Dating Expansion 1,Third Party Commercial,
______ ______ go away. Come back another day.,PICK 1,Kids Against Maturity,Stand Alone Games,,,“Intimacy issues.”,Cads About Matrimony,Stand Alone Games,
______ + ______ = ______.,"DRAW 2, PICK 3",Babies vs. Parents,Stand Alone Games,,,“Intimacy issues.”,Cads About Matrimony Poly Pack,Stand Alone Games,
______ + ______ = ______.,"DRAW 2, PICK 3",CAH Base Set,CAH Base Set,,,"“Knock Knock, Motherfucker.”",Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,
______ + ______ = Hipsters,PICK 2,The Worst Card Game: Colorado Edition,Third Party Commercial,,,"“Oh dear God, coffee!”",Carbs of the Huge Manatee: General Expansion 2,Third Party Commercial,
______ + ______ = Hot new knitting trend.,PICK 2,Knitters Against Swatches Second Edition,Third Party Commercial,,,“Platonic” cuddle buddies.,Carbs of the Huge Manatee: Dance Expansion 1,Third Party Commercial,
______ a day keeps the ______ away.,PICK 2,Babies vs. Parents,Stand Alone Games,,,“Somebody That I Used To Know” covered by Sting.,Carbs of the Huge Manatee: General Expansion 1,Third Party Commercial,
______ a day keeps the doctor away.,,Cards and Punishment Vol. One,Third Party Commercial,,,"“Too much bush,” whatever that is.",Words Against Morality: Volume 4,Third Party Commercial,
"______ always help(s) ""Insert Name"" relax.",,Personally Incorrect,Stand Alone Games,,,"“Useless, yerk-toting, Frisbee-chucking cheeba-monkeys”",Carbs of the Huge Manatee: General Expansion 2,Third Party Commercial,
"______ always helps ""Insert Name"" prepare for a big exam.",,Personally Incorrect - Expansion [Red Box],Stand Alone Games,,,“Vegan-leather” bondage gear.,Carbs of the Huge Manatee - Kink Expansion 1,Third Party Commercial,
"______ always make(s) ""Insert Name"" cry for hours.",,Personally Incorrect,Stand Alone Games,,,“Working” from home.,Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,
